Categoría,Subcategoría,Producto,Marca,Descripción,Presentación,Unidades
LÍNEA DE HELADERÍA Y REPOSTERÍA,Quesos,Queso industrial,Varios,Queso para repostería,Variable,Variable
LÍNEA DE HELADERÍA Y REPOSTERÍA,Rellenos,Arequipe - lecherita y salsas dulces,Varios,Productos para relleno,Variable,Variable
LÍNEA DE HELADERÍA Y REPOSTERÍA,Saborizantes,Saborizantes y colorantes para alimentos,Varios,Saborizantes y colorantes,Variable,Variable
LÍNEA DE HELADERÍA Y REPOSTERÍA,Frutos secos,Frutos secos y mixtos,Varios,Frutos secos y mixtos,Variable,Variable
LÍNEA DE HELADERÍA Y REPOSTERÍA,Milo,Milo,Nestlé,Milo en polvo,Variable,Variable
LÍNEA DE HELADERÍA Y REPOSTERÍA,Bocadillo,Bocadillo,Varios,Bocadillo,Variable,Variable
LÍNEA DE HELADERÍA Y REPOSTERÍA,Galletas,Galletería oreo - wafer - sultana - capri y ducales,Varios,Galletas variadas,Variable,Variable
LÍNEA DE CONFITERÍA,Mentas,Mentas frías,Colombina,Mentas frías,Paquete,Variable
LÍNEA DE CONFITERÍA,Mentas,Mentas masticables,Varios,Mentas masticables,Paquete,Variable
LÍNEA DE CONFITERÍA,Masmelos,Masmelos,Varios,Masmelos,Paquete,Variable
LÍNEA DE CONFITERÍA,Gomitas,Gomitas,Varios,Gomitas de dulce,Paquete,Variable
LÍNEA DE CONFITERÍA,Chupetas,Chupetas,Varios,Chupetas,Paquete,Variable
LÍNEA DE CONFITERÍA,Confites temáticos,Confites temáticos,Colombina,Confites temáticos - Fruticas surtidas,Bolsa 400g,100 unidades
LÍNEA DE CONFITERÍA,Confites económicos,Confites económicos,Varios,Confites económicos,Variable,Variable
LÍNEA DE BEBIDAS,Coca-Cola,Productos Coca-Cola,Coca-Cola,Productos Coca-Cola,Variable,6-24 unidades
LÍNEA DE BEBIDAS,Postobón,Productos Postobón,Postobón,Productos Postobón - Manzana,2.5 L,Pack x 8 unidades
LÍNEA DE BEBIDAS,Jugos,Jugos Hit - Cifrut y Del Valle,Varios,Jugos Hit - Cifrut y Del Valle,Variable,6-24 unidades
LÍNEA DE BEBIDAS,Pony Malta,Pony Malta,Bavaria,Pony Malta,Variable,6-24 unidades
LÍNEA DE HARINAS Y VARIOS,Café,Café molido y granulado,Varios,Café molido y granulado,Variable,Variable
LÍNEA DE HARINAS Y VARIOS,Vinagre,Vinagre y Zumo de limón,Varios,Vinagre y Zumo de limón,Variable,Variable
LÍNEA DE HARINAS Y VARIOS,Pasabocas,Pasabocas y chicharrones,Varios,Pasabocas y chicharrones,Variable,Variable
LÍNEA DE HARINAS Y VARIOS,Colbuñuelo,Colbuñuelo y Empanadalista,Varios,Colbuñuelo y Empanadalista,Variable,Variable
LÍNEA DE HARINAS Y VARIOS,Aceitunas,Aceitunas y Alcaparras,Varios,Aceitunas y Alcaparras,Variable,Variable
LÍNEA DE HARINAS Y VARIOS,Azúcar,Azúcar,Manuelita,Azúcar pitillo - Alta Pureza,1 kg,200 unidades de 5g
LÍNEA DE HARINAS Y VARIOS,Cereales,Cereales,Varios,Cereales,Variable,Variable
LÍNEA DE HARINAS Y VARIOS,Bocadillos,Bocadillos,Varios,Bocadillos,Variable,Variable
LÍNEA DE HARINAS Y VARIOS,Aromáticas,Aromáticas,Varios,Té y aromáticas,Variable,Variable
LÍNEA DE EMPAQUES DESECHABLES,Papel aluminio,Papel aluminio,Varios,Papel aluminio,Rollo,Variable
LÍNEA DE EMPAQUES DESECHABLES,Papel vinipel,Papel vinipel,Varios,Papel vinipel,Rollo,Variable
LÍNEA DE EMPAQUES DESECHABLES,Papel parafinado,Papel parafinado,Varios,Papel parafinado en colores,15cm x 15cm,Variable
LÍNEA DE EMPAQUES DESECHABLES,Palos,Palos de pincho - chuzo y palillos,Varios,Palos de pincho - chuzo y palillos,Paquete,Variable
LÍNEA DE EMPAQUES DESECHABLES,Mezcladores,Mezcladores plásticos y de madera,Varios,Mezcladores plásticos y de madera,Paquete,Variable
LÍNEA DE EMPAQUES DESECHABLES,Sello Plus,Sello Plus para postres,Varios,Sello Plus para postres,Paquete,Variable
LÍNEA DE EMPAQUES DESECHABLES,Bolsas,Bolsas de papel - plásticas - aluminizadas y herméticas,Varios,Bolsas variadas,Variable,Variable
LÍNEA DE EMPAQUES DESECHABLES,Contenedores,Contenedores - bandejas - platos y vasos de icopor,Varios,Desechables de icopor,Variable,Variable
LÍNEA DE EMPAQUES DESECHABLES,Porta perros,Porta perros y porta hamburguesa,Varios,Empaques para perros y hamburguesas,Paquete,Variable
